"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-10,092
0,32;-10,112
0,32;-10,137
0,32;-10,046
0,32;-10,053
0,32;-10,037
0,32;-10,057
0,32;-10,082
0,32;-10,110
0,32;-10,169
0,32;-10,219
0,32;-10,148
0,32;-10,096
0,32;-10,096
0,32;-10,099
0,32;-10,141
0,32;-10,185
0,32;-10,192
0,32;-10,158
0,32;-10,130
0,32;-10,180
0,32;-10,268
0,32;-10,323
0,32;-10,359
0,32;-10,352
0,32;-10,318
0,32;-10,264
0,32;-10,216
0,32;-10,210
0,32;-10,246
0,32;-10,266
0,32;-10,225
0,32;-10,153
0,32;-10,117
0,32;-10,114
0,32;-10,133
0,32;-10,153
0,32;-10,166
0,32;-10,198
0,32;-10,237
0,32;-10,269
0,32;-10,291
0,32;-10,300
0,32;-10,280
0,32;-10,250
0,32;-10,235
0,32;-10,225
0,32;-10,230
0,32;-10,235
0,32;-10,209
0,32;-10,146
0,32;-10,112
0,32;-10,096
0,32;-10,164
0,32;-10,196
0,32;-10,182
0,32;-10,135
0,32;-10,098
0,32;-10,087
0,32;-10,023
0,32;-10,142
0,32;-10,171
0,32;-10,225
0,32;-10,187
0,32;-10,092
0,32;-10,085
0,32;-10,141
0,32;-10,203
0,32;-10,235
0,32;-10,241
0,32;-10,221
0,32;-10,209
0,32;-10,248
0,32;-10,298
0,32;-10,280
0,32;-10,318
0,32;-10,309
0,32;-10,198
0,32;-10,142
0,32;-10,180
0,32;-10,250
0,32;-10,269
0,32;-10,243
0,32;-10,216
0,32;-10,205
0,32;-10,205
0,32;-10,209
0,32;-10,221
0,32;-10,235
0,32;-10,248
0,32;-10,241
0,32;-10,228
0,32;-10,235
0,32;-10,260
0,32;-10,277
0,32;-10,262
0,32;-10,237
0,32;-10,214
0,32;-10,219
0,32;-10,223
0,32;-10,201
0,32;-10,164
0,32;-10,150
0,32;-10,144
0,32;-10,166
0,32;-10,176
0,32;-10,164
0,32;-10,144
0,32;-10,148
0,32;-10,194
0,32;-10,219
0,32;-10,198
0,32;-10,162
0,32;-10,144
0,32;-10,153
0,32;-10,184
0,32;-10,203
0,32;-10,226
0,32;-10,248
0,32;-10,235
0,32;-10,187
0,32;-10,139
0,32;-10,119
0,32;-10,110
0,32;-10,091
0,32;-10,062
0,32;-10,044
0,32;-10,048
0,32;-10,066
0,32;-10,071
0,32;-10,074
0,32;-10,074
0,32;-10,080
0,32;-10,078
0,32;-10,062
0,32;-10,055
0,32;-10,058
0,32;-10,058
0,32;-10,048
0,32;-10,062
0,32;-10,099
0,32;-10,176
0,32;-10,266
0,32;-10,314
0,32;-10,328
0,32;-10,300
0,32;-10,250
0,32;-10,184
0,32;-10,144
0,32;-10,130
0,32;-10,151
0,32;-10,167
0,32;-10,146
0,32;-10,103
0,32;-10,076
0,32;-10,069
0,32;-10,069
0,32;-10,066
0,32;-10,051
0,32;-10,048
0,32;-10,060
0,32;-10,071
0,32;-10,082
0,32;-10,121
0,32;-10,157
0,32;-10,175
0,32;-10,171
0,32;-10,164
0,32;-10,150
0,32;-10,160
0,32;-10,166
0,32;-10,169
0,32;-10,182
0,32;-10,189
0,32;-10,200
0,32;-10,219
0,32;-10,246
0,32;-10,244
0,32;-10,225
0,32;-10,207
0,32;-10,200
0,32;-10,194
0,32;-10,200
0,32;-10,198
0,32;-10,164
0,32;-10,117
0,32;-10,096
0,32;-10,089
0,32;-10,096
0,32;-10,117
0,32;-10,151
0,32;-10,144
0,32;-10,150
0,32;-10,169
0,32;-10,189
0,32;-10,225
0,32;-10,253
0,32;-10,268
0,32;-10,262
0,32;-10,266
0,32;-10,291
0,32;-10,318
0,32;-10,350
0,32;-10,375
0,32;-10,362
0,32;-10,332
0,32;-10,319
0,32;-10,368
0,32;-10,432
0,32;-10,443
0,32;-10,448
0,32;-10,439
0,32;-10,412
0,32;-10,364
0,32;-10,337
0,32;-10,350
0,32;-10,377
0,32;-10,386
0,32;-10,382
0,32;-10,357
0,32;-10,330
0,32;-10,323
0,32;-10,344
0,32;-10,400
0,32;-10,430
0,32;-10,436
0,32;-10,452
0,32;-10,445
0,32;-10,430
0,32;-10,411
0,32;-10,395
0,32;-10,389
0,32;-10,389
0,32;-10,393
0,32;-10,373
0,32;-10,346
0,32;-10,330
0,32;-10,318
0,32;-10,325
0,32;-10,337
0,32;-10,353
0,32;-10,382
0,32;-10,421
0,32;-10,443
0,32;-10,430
0,32;-10,396
0,32;-10,337
0,32;-10,280
0,32;-10,243
0,32;-10,237
0,32;-10,237
0,32;-10,248
0,32;-10,284
0,32;-10,303
0,32;-10,305
0,32;-10,302
0,32;-10,314
0,32;-10,343
0,32;-10,344
0,32;-10,319
0,32;-10,294
0,32;-10,275
0,32;-10,259
0,32;-10,243
0,32;-10,237
0,32;-10,257
0,32;-10,296
0,32;-10,305
0,32;-10,298
0,32;-10,285
0,32;-10,302
0,32;-10,250
0,32;-10,189
0,32;-10,191
0,32;-10,248
0,32;-10,302
0,32;-10,336
0,32;-10,255
0,32;-10,218
0,32;-10,218
0,32;-10,253
0,32;-10,255
0,32;-10,210
0,32;-10,121
0,32;-10,108
0,32;-10,101
0,32;-10,119
0,32;-10,162
0,32;-10,205
0,32;-10,223
0,32;-10,223
0,32;-10,225
0,32;-10,234
0,32;-10,266
0,32;-10,259
0,32;-10,219
0,32;-10,153
0,32;-10,135
0,32;-10,169
0,32;-10,232
0,32;-10,271
0,32;-10,246
0,32;-10,162
0,32;-10,085
0,32;-10,101
0,32;-10,173
0,32;-10,259
0,32;-10,314
0,32;-10,305
0,32;-10,248
0,32;-10,203
0,32;-10,196
0,32;-10,185
0,32;-10,137
0,32;-10,085
0,32;-10,051
0,32;-10,060
0,32;-10,058
0,32;-10,060
0,32;-10,103
0,32;-10,157
0,32;-10,155
0,32;-10,108
0,32;-10,071
0,32;-10,087
0,32;-10,135
0,32;-10,187
0,32;-10,210
0,32;-10,218
0,32;-10,207
0,32;-10,196
0,32;-10,194
0,32;-10,219
0,32;-10,239
0,32;-10,241
0,32;-10,203
0,32;-10,150
0,32;-10,108
0,32;-10,073
0,32;-10,062
0,32;-10,055
0,32;-10,024
0,32;-10,008
0,32;-10,037
0,32;-10,046
0,32;-10,058
0,32;-10,066
0,32;-10,082
0,32;-10,125
0,32;-10,173
0,32;-10,187
0,32;-10,151
0,32;-10,112
0,32;-10,126
0,32;-10,189
0,32;-10,226
0,32;-10,209
0,32;-10,184
0,32;-10,175
0,32;-10,169
0,32;-10,151
0,32;-10,142
0,32;-10,135
0,32;-10,123
0,32;-10,094
0,32;-10,064
0,32;-10,066
0,32;-10,091
0,32;-10,121
0,32;-10,123
0,32;-10,099
0,32;-10,067
0,32;-10,030
0,32;-10,017
0,32;-10,010
0,32;-10,008
0,32;-9,999
0,32;-9,985
0,32;-10,006
0,32;-10,024
0,32;-10,046
0,32;-10,091
0,32;-10,112
0,32;-10,099
0,32;-10,074
0,32;-10,082
0,32;-10,119
0,32;-10,171
0,32;-10,189
0,32;-10,205
0,32;-10,205
0,32;-10,191
0,32;-10,192
0,32;-10,189
0,32;-10,192
0,32;-10,198
0,32;-10,210
0,32;-10,234
0,32;-10,269
0,32;-10,284
0,32;-10,289
0,32;-10,293
0,32;-10,296
0,32;-10,309
0,32;-10,337
0,32;-10,352
0,32;-10,364
0,32;-10,357
0,32;-10,328
0,32;-10,278
0,32;-10,248
0,32;-10,246
0,32;-10,255
0,32;-10,243
0,32;-10,209
0,32;-10,182
0,32;-10,182
0,32;-10,192
0,32;-10,185
0,32;-10,157
0,32;-10,158
0,32;-10,178
0,32;-10,218
0,32;-10,250
0,32;-10,277
0,32;-10,294
0,32;-10,307
0,32;-10,316
0,32;-10,321
0,32;-10,319
0,32;-10,343
0,32;-10,359
0,32;-10,366
0,32;-10,368
0,32;-10,387
0,32;-10,395
0,32;-10,384
0,32;-10,371
0,32;-10,380
0,32;-10,404
0,32;-10,416
0,32;-10,396
0,32;-10,370
0,32;-10,361
0,32;-10,378
0,32;-10,377
0,32;-10,336
0,32;-10,264
0,32;-10,196
0,32;-10,146
0,32;-10,108
0,32;-10,073
0,32;-10,055
0,32;-10,044
0,32;-10,035
0,32;-10,024
0,32;-10,026
0,32;-10,028
0,32;-10,017
0,32;-9,996
0,32;-9,989
0,32;-10,012
0,32;-10,039
0,32;-10,073
0,32;-10,089
0,32;-10,069
0,32;-10,040
0,32;-10,037
0,32;-10,064
0,32;-10,082
0,32;-10,069
0,32;-10,048
0,32;-10,033
0,32;-10,040
0,32;-10,055
0,32;-10,062
0,32;-10,040
0,32;-9,998
0,32;-9,971
0,32;-9,994
0,32;-9,981
0,32;-9,905
0,32;-10,012
0,32;-10,024
0,32;-10,010
0,32;-10,044
0,32;-10,046
0,32;-10,044
0,32;-10,053
0,32;-10,039
0,32;-10,044
0,32;-10,055
0,32;-10,064
0,32;-10,053
0,32;-10,053
0,32;-10,055
0,32;-10,053
0,32;-10,040
0,32;-10,001
0,32;-9,974
0,32;-9,992
0,32;-10,019
0,32;-10,071
0,32;-10,128
0,32;-10,151
0,32;-10,137
0,32;-10,099
0,32;-10,074
0,32;-10,071
0,32;-10,083
0,32;-10,083
0,32;-10,051
0,32;-10,057
0,32;-10,094
0,32;-10,119
0,32;-10,125
0,32;-10,133
0,32;-10,150
0,32;-10,162
0,32;-10,180
0,32;-10,200
0,32;-10,226
0,32;-10,246
0,32;-10,260
0,32;-10,253
0,32;-10,251
0,32;-10,228
0,32;-10,192
0,32;-10,171
0,32;-10,166
0,32;-10,171
0,32;-10,167
0,32;-10,176
0,32;-10,175
0,32;-10,171
0,32;-10,167
0,32;-10,171
0,32;-10,173
0,32;-10,182
0,32;-10,178
0,32;-10,160
0,32;-10,144
0,32;-10,137
0,32;-10,141
0,32;-10,158
0,32;-10,171
0,32;-10,175
0,32;-10,176
0,32;-10,180
0,32;-10,180
0,32;-10,185
0,32;-10,184
0,32;-10,196
0,32;-10,203
0,32;-10,203
0,32;-10,210
0,32;-10,228
0,32;-10,271
0,32;-10,302
0,32;-10,321
0,32;-10,332
0,32;-10,325
0,32;-10,309
0,32;-10,289
0,32;-10,285
0,32;-10,291
0,32;-10,302
0,32;-10,307
0,32;-10,314
0,32;-10,311
0,32;-10,303
0,32;-10,311
0,32;-10,325
0,32;-10,325
0,32;-10,321
0,32;-10,327
0,32;-10,346
0,32;-10,355
0,32;-10,339
0,32;-10,318
0,32;-10,328
0,32;-10,366
0,32;-10,377
0,32;-10,364
0,32;-10,357
0,32;-10,344
0,32;-10,332
0,32;-10,343
0,32;-10,378
0,32;-10,409
0,32;-10,402
0,32;-10,409
0,32;-10,411
0,32;-10,405
0,32;-10,396
0,32;-10,384
0,32;-10,373
0,32;-10,378
0,32;-10,412
0,32;-10,441
0,32;-10,418
0,32;-10,439
0,32;-10,464
0,32;-10,437
0,32;-10,432
0,32;-10,405
0,32;-10,386
0,32;-10,400
0,32;-10,412
0,32;-10,414
0,32;-10,407
0,32;-10,405
0,32;-10,420
0,32;-10,411
0,32;-10,387
0,32;-10,373
0,32;-10,368
0,32;-10,359
0,32;-10,343
0,32;-10,319
0,32;-10,296
0,32;-10,278
0,32;-10,271
0,32;-10,260
0,32;-10,237
0,32;-10,234
0,32;-10,228
0,32;-10,225
0,32;-10,226
0,32;-10,219
0,32;-10,200
0,32;-10,175
0,32;-10,155
0,32;-10,180
0,32;-10,237
0,32;-10,291
0,32;-10,302
0,32;-10,289
0,32;-10,264
0,32;-10,259
0,32;-10,303
0,32;-10,337
0,32;-10,344
0,32;-10,377
0,32;-10,361
0,32;-10,396
0,32;-10,402
0,32;-10,386
0,32;-10,395
0,32;-10,421
0,32;-10,429
0,32;-10,409
0,32;-10,384
0,32;-10,364
0,32;-10,336
0,32;-10,312
0,32;-10,278
0,32;-10,218
0,32;-10,182
0,32;-10,184
0,32;-10,192
0,32;-10,182
0,32;-10,162
0,32;-10,130
0,32;-10,094
0,32;-10,082
0,32;-10,108
0,32;-10,148
0,32;-10,171
0,32;-10,194
0,32;-10,214
0,32;-10,234
0,32;-10,251
0,32;-10,259
0,32;-10,246
0,32;-10,239
0,32;-10,255
0,32;-10,269
0,32;-10,271
0,32;-10,264
0,32;-10,275
0,32;-10,277
0,32;-10,260
0,32;-10,241
0,32;-10,248
0,32;-10,264
0,32;-10,232
0,32;-10,185
0,32;-10,187
0,32;-10,226
0,32;-10,255
0,32;-10,244
0,32;-10,221
0,32;-10,175
0,32;-10,126
0,32;-10,066
0,32;-10,037
